,gameId,homeTeamAbbr,visitorTeamAbbr,playId,playDescription,possessionTeam,defensiveTeam,nflId,frameId,team,x,y,officialPosition,displayName,pff_role,team_color
54,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,37077.0,55,ARI,29.93,4.26,WR,A.J. Green,Pass Route,#97233F
109,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,38779.0,55,ARI,10.33,23.57,T,Kelvin Beachum,Pass Block,#97233F
164,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,39965.0,55,ARI,18.53,23.01,G,Justin Pugh,Pass Block,#97233F
219,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,39973.0,55,ARI,33.74,48.29,WR,DeAndre Hopkins,Pass Route,#97233F
274,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,39983.0,55,ARI,50.1,35.43,TE,Zach Ertz,Pass Route,#97233F
329,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,42367.0,55,ARI,17.84,25.95,T,D.J. Humphries,Pass Block,#97233F
384,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,42381.0,55,GB,18.73,26.38,OLB,Preston Smith,Pass Rush,#203731
439,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,42485.0,55,GB,34.6,13.86,FS,Adrian Amos,Coverage,#203731
494,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,43316.0,55,GB,20.57,21.88,NT,Kenny Clark,Pass Rush,#203731
549,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,43404.0,55,GB,28.35,11.63,ILB,De'Vondre Campbell,Coverage,#203731
604,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,43426.0,55,GB,16.99,17.66,DE,Dean Lowry,Pass Rush,#203731
659,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,44911.0,55,GB,30.42,4.67,CB,Rasul Douglas,Coverage,#203731
714,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,44949.0,55,ARI,18.38,20.62,G,Sean Harlow,Pass Block,#97233F
769,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,46116.0,55,ARI,32.38,14.26,WR,Christian Kirk,Pass Route,#97233F
824,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,46203.0,55,ARI,24.37,24.18,RB,Chase Edmonds,Pass Route,#97233F
879,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,46652.0,55,GB,37.34,36.48,CB,Chandon Sullivan,Coverage,#203731
934,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,47784.0,55,ARI,11.4,22.79,QB,Kyler Murray,Pass,#97233F
989,2021102800,ARI,GB,189,"(12:58) (Shotgun) K.Murray sacked at ARI 2 for -11 yards (R.Gary). PENALTY on GB-R.Gary, Face Mask (15 Yards), 15 yards, enforced at ARI 13 - No Play.",ARI,GB,47795.0,55,GB,10.55,22.05,OLB,Rashan Gary,Pass Rush,#203731
